originregion_id,originregion_name,destinationregion_id,destinationregion_name,regionflow_1990,regionflow_1995,regionflow_2000,regionflow_2005,xxx,origin_iso,origin_name,destination_iso,destination_name,countryflow_1990,countryflow_1995,countryflow_2000,countryflow_2005,origin_show,destination_show
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,IRQ,Iraq,CYP,Cyprus,36,26,73,12,1,0
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,IRQ,Iraq,IRQ,Iraq,0,0,0,0,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,IRQ,Iraq,ISR,Israel,13747,731,11,24,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,IRQ,Iraq,JOR,Jordan,16211,0,106328,47176,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,IRQ,Iraq,KWT,Kuwait,0,0,0,2,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,IRQ,Iraq,LBN,Lebanon,8776,1046,40024,12114,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,IRQ,Iraq,OMN,Oman,841,0,0,0,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,IRQ,Iraq,PSE,Palestine,0,0,0,3,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,IRQ,Iraq,QAT,Qatar,0,0,0,154,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,IRQ,Iraq,SAU,Saudi Arabia,0,0,1,7,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,IRQ,Iraq,SYR,Syria,0,0,371177,80517,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,IRQ,Iraq,TUR,Turkey,495,0,863,106,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,IRQ,Iraq,YEM,Yemen,6838,0,156,1,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ISR,Israel,ARE,United Arab Emirates,0,0,0,106,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ISR,Israel,BHR,Bahrain,0,0,0,21,1,0
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ISR,Israel,CYP,Cyprus,0,58,670,875,1,0
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ISR,Israel,IRQ,Iraq,0,81,0,0,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ISR,Israel,ISR,Israel,0,0,0,0,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ISR,Israel,JOR,Jordan,1,40,607,240,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ISR,Israel,KWT,Kuwait,0,0,0,0,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ISR,Israel,LBN,Lebanon,0,41,124,33,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ISR,Israel,OMN,Oman,0,0,0,0,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ISR,Israel,PSE,Palestine,0,0,0,0,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ISR,Israel,QAT,Qatar,0,0,0,39,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ISR,Israel,SAU,Saudi Arabia,0,0,0,0,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ISR,Israel,SYR,Syria,0,0,1124,200,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ISR,Israel,TUR,Turkey,0,0,231,215,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,ISR,Israel,YEM,Yemen,23481,0,0,0,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,JOR,Jordan,ARE,United Arab Emirates,19,27738,22890,50250,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,JOR,Jordan,BHR,Bahrain,0,2566,1343,7128,1,0
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,JOR,Jordan,CYP,Cyprus,4,370,965,211,1,0
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,JOR,Jordan,IRQ,Iraq,25,16971,4081,246,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,JOR,Jordan,ISR,Israel,11,1970,2286,1227,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,JOR,Jordan,JOR,Jordan,0,0,0,0,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,JOR,Jordan,KWT,Kuwait,0,14322,6831,1871,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,JOR,Jordan,LBN,Lebanon,388,25148,17539,0,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,JOR,Jordan,OMN,Oman,4,1111,1,0,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,JOR,Jordan,PSE,Palestine,926,60775,16279,11870,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,JOR,Jordan,QAT,Qatar,0,4317,4549,13785,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,JOR,Jordan,SAU,Saudi Arabia,0,14876,47754,1224,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,JOR,Jordan,SYR,Syria,0,0,24425,0,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,JOR,Jordan,TUR,Turkey,3,767,1067,568,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,JOR,Jordan,YEM,Yemen,1685,0,43,0,1,1
5,West Asia,5,West Asia,1022058,584643,1089062,927243,,KWT,Kuwait,ARE,United Arab Emirates,68186,9585,3614,19741,1,1
